ID,label
1,3
2,0
3,3
4,3
5,0
6,2
7,1
8,0
9,0
10,3
11,0
12,1
13,3
14,3
15,3
16,2
17,0
18,3
19,0
20,0
21,1
22,0
23,0
24,3
25,0
26,0
27,0
28,1
29,3
30,1
31,1
32,0
33,0
34,3
35,0
36,1
37,1
38,3
39,1
40,0
41,3
42,0
43,0
44,0
45,1
46,1
47,3
48,1
49,1
50,3
51,1
52,0
53,1
54,0
55,0
56,1
57,0
58,1
59,1
60,1
61,1
62,0
63,3
64,0
65,0
66,0
67,2
68,0
69,0
70,1
71,1
72,1
73,3
74,3
75,0
76,2
77,3
78,2
79,3
80,0
81,1
82,3
83,3
84,1
85,3
86,2
87,1
88,0
89,0
90,0
91,2
92,3
93,0
94,1
95,1
96,0
97,0
98,3
99,1
100,0
101,3
102,0
103,0
104,3
105,0
106,2
107,0
108,3
109,1
110,1
111,0
112,1
113,0
114,2
115,3
116,3
117,0
118,0
119,3
120,2
121,0
122,0
123,3
124,1
125,0
126,0
127,0
128,0
129,3
130,1
131,1
132,3
133,1
134,0
135,3
136,2
137,1
138,2
139,0
140,0
141,1
142,0
143,0
144,1
145,1
146,2
147,3
148,2
149,0
150,1
151,1
152,0
153,0
154,1
155,1
156,0
157,0
158,0
159,0
160,1
161,1
162,3
163,3
164,3
165,3
166,1
167,3
168,1
169,2
170,3
171,1
172,0
173,3
174,0
175,2
176,3
177,0
178,3
179,0
180,0
181,0
182,2
183,1
184,1
185,2
186,1
187,0
188,0
189,0
190,0
191,0
192,3
193,3
194,0
195,1
196,0
197,1
198,0
199,1
200,2
201,3
202,0
203,0
204,1
205,1
206,0
207,0
208,0
209,0
210,1
211,0
212,0
213,1
214,1
215,3
216,0
217,3
218,3
219,3
220,2
221,3
222,2
223,0
224,0
225,1
226,1
227,0
228,0
229,3
230,0
231,0
232,0
233,1
234,1
235,0
236,0
237,0
238,1
239,1
240,1
241,2
242,0
243,1
244,0
245,1
246,3
247,1
248,0
249,0
250,1
251,3
252,0
253,0
254,3
255,0
256,2
257,3
258,1
259,1
260,0
261,2
262,3
263,0
264,1
265,1
266,1
267,3
268,1
269,3
270,0
271,1
272,1
273,0
274,0
275,2
276,0
277,2
278,1
279,1
280,0
281,3
282,1
283,3
284,1
285,3
286,3
287,1
288,0
289,3
290,0
291,0
292,2
293,0
294,0
295,2
296,1
297,0
298,1
299,1
300,2
301,1
302,2
303,0
304,0
305,1
306,0
307,0
308,0
309,0
310,3
311,0
312,3
313,0
314,3
315,3
316,3
317,0
318,3
319,3
320,0
321,1
322,1
323,3
324,1
325,3
326,0
327,1
328,1
329,2
330,1
331,3
332,1
333,2
334,0
335,0
336,0
337,1
338,2
339,1
340,1
341,3
342,3
343,3
344,0
345,0
346,0
347,3
348,2
349,3
350,0
351,1
352,1
353,1
354,3
355,1
356,0
357,1
358,1
359,2
360,0
361,3
362,3
363,3
364,0
365,3
366,3
367,1
368,0
369,1
370,1
371,1
372,3
373,3
374,3
375,1
376,1
377,3
378,3
379,3
380,3
381,1
382,0
383,1
384,0
385,0
386,0
387,0
388,1
389,1
390,3
391,0
392,0
393,1
394,1
395,0
396,0
397,2
398,3
399,0
400,1
401,3
402,1
403,0
404,0
405,3
406,3
407,2
408,0
409,3
410,1
411,1
412,0
413,0
414,2
415,1
416,1
417,1
418,1
419,0
420,3
421,3
422,0
423,2
424,0
425,2
426,0
427,0
428,2
429,0
430,0
431,0
432,3
433,2
434,3
435,3
436,1
437,3
438,3
439,0
440,1
441,1
442,1
443,1
444,3
445,3
446,1
447,2
448,0
449,1
450,1
451,0
452,3
453,3
454,0
455,0
456,0
457,2
458,2
459,0
460,3
461,0
462,0
463,1
464,1
465,3
466,1
467,1
468,2
469,3
470,3
471,1
472,3
473,3
474,2
475,2
476,2
477,1
478,1
479,3
480,3
481,3
482,3
483,2
484,0
485,0
486,3
487,3
488,2
489,0
490,1
491,1
492,1
493,0
494,0
495,1
496,3
497,3
498,0
499,1
500,1
501,3
502,3
503,3
504,0
505,0
506,0
507,0
508,0
509,1
510,0
511,1
512,0
513,0
514,0
515,2
516,1
517,2
518,2
519,1
520,3
521,0
522,0
523,0
524,0
525,0
526,2
527,2
528,1
529,1
530,3
531,1
532,1
533,1
534,0
535,2
536,1
537,2
538,2
539,0
540,1
541,1
542,0
543,1
544,0
545,3
546,2
547,0
548,0
549,0
550,1
551,3
552,1
553,3
554,3
555,3
556,0
557,0
558,0
559,3
560,0
561,3
562,1
563,3
564,0
565,0
566,2
567,0
568,1
569,2
570,0
571,1
572,3
573,3
574,1
575,0
576,1
577,2
578,0
579,1
580,0
581,3
582,3
583,0
584,2
585,1
586,3
587,2
588,0
589,1
590,2
591,1
592,3
593,0
594,1
595,3
596,1
597,0
598,3
599,1
600,0
601,3
602,0
603,2
604,1
605,0
606,1
607,1
608,1
609,0
610,3
611,0
612,1
613,3
614,1
615,2
616,0
617,0
618,3
619,1
620,3
621,3
622,0
623,0
624,0
625,0
626,1
627,1
628,1
629,3
630,0
631,0
632,1
633,1
634,0
635,0
636,2
637,1
638,0
639,3
640,3
641,1
642,0
643,3
644,3
645,3
646,3
647,3
648,0
649,3
650,0
651,0
652,3
653,2
654,2
655,1
656,2
657,0
658,2
659,3
660,1
661,0
662,2
663,0
664,0
665,0
666,3
667,1
668,0
669,2
670,0
671,3
672,1
673,0
674,2
675,0
676,3
677,1
678,1
679,1
680,3
681,1
682,1
683,2
684,1
685,0
686,1
687,0
688,3
689,1
690,0
691,0
692,0
693,3
694,0
695,0
696,2
697,3
698,3
699,3
700,3
701,1
702,3
703,1
704,1
705,0
706,2
707,3
708,3
709,2
710,2
711,3
712,0
713,0
714,0
715,2
716,2
717,1
718,0
719,3
720,2
721,3
722,3
723,0
724,1
725,1
726,0
727,3
728,0
729,1
730,0
731,1
732,1
733,1
734,1
735,2
736,2
737,1
738,3
739,2
740,0
741,0
742,0
743,2
744,2
745,3
746,1
747,3
748,3
749,0
750,0
751,1
752,3
753,1
754,1
755,1
756,3
757,0
758,0
759,1
760,2
761,0
762,0
763,2
764,3
765,0
766,2
767,0
768,0
769,1
770,1
771,2
772,2
773,0
774,3
775,1
776,3
777,0
778,3
779,1
780,1
781,3
782,1
783,3
784,0
785,1
786,2
787,3
788,0
789,1
790,1
791,0
792,3
793,0
794,3
795,1
796,0
797,1
798,0
799,0
800,0
801,0
802,3
803,1
804,0
805,1
806,0
807,1
808,0
809,1
810,1
811,0
812,2
813,2
814,1
815,0
816,0
817,2
818,2
819,0
820,0
821,0
822,3
823,3
824,3
825,2
826,0
827,0
828,3
829,1
830,1
831,1
832,1
833,1
834,0
835,0
836,3
837,1
838,0
839,0
840,1
841,3
842,0
843,0
844,1
845,3
846,0
847,0
848,1
849,0
850,0
851,3
852,1
853,0
854,1
855,1
856,3
857,1
858,0
859,3
860,1
861,1
862,3
863,3
864,2
865,0
866,0
867,1
868,1
869,3
870,1
871,2
872,3
873,0
874,3
875,0
876,0
877,1
878,0
879,0
880,0
881,0
882,0
883,1
884,0
885,3
886,0
887,0
888,2
889,1
890,1
891,1
892,3
893,2
894,0
895,2
896,3
897,0
898,2
899,0
900,1
901,1
902,0
903,0
904,0
905,1
906,0
907,0
908,1
909,1
910,2
911,2
912,0
913,0
914,2
915,2
916,0
917,2
918,1
919,3
920,0
921,1
922,1
923,1
924,0
925,3
926,1
927,0
928,2
929,1
930,0
931,1
932,3
933,1
934,2
935,0
936,0
937,3
938,0
939,3
940,0
941,1
942,3
943,1
944,3
945,2
946,2
947,0
948,2
949,3
950,2
951,1
952,1
953,3
954,1
955,0
956,3
957,1
958,0
959,0
960,1
961,1
962,1
963,0
964,0
965,1
966,3
967,0
968,1
969,0
970,3
971,1
972,0
973,1
974,1
975,0
976,0
977,3
978,3
979,1
980,0
981,3
982,0
983,2
984,3
985,2
986,3
987,1
988,3
989,1
990,0
991,3
992,3
993,1
994,0
995,0
996,2
997,1
998,3
999,1
1000,0
